stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6TH_CRESTLINE_WB,186,6th & Crestline,North side of 6th east of Crestline ,38.971608,-95.267223,FULL, ,,,,
6TH_ELDRIDGE_EB,,6th & Eldridge,South side of 6th west of Eldridge,38.97145124,-95.29375184,FULL, ,,,,
6TH_ELDRIDGE_WB,192,6th & Eldridge,North side of 6th east of Eldridge,38.971624,-95.29352,FULL, ,,,,
6TH_FOLKS_EB,83,6th & Folks,South side of 6th west of Folks,38.97143996,-95.29809803,FULL, ,,,,
6TH_FOLKS_NB,363,6th & Folks,East side of Folks north of 6th,38.97191875,-95.29755682,FULL, ,,,,
6TH_FRONTIER_WB,188,6th & Frontier,North side of 6th east of Frontier,38.97165864,-95.27878526,FULL, ,,,,
6TH_GATEWAY,187,6th & Gateway,North side of 6th east of Gateway,38.97163593,-95.27653054,FULL, ,,,,
6TH_GATEWAY_EB,190,6th & Gateway,South side of 6th west of Gateway,38.97143843,-95.27736156,FULL, ,,,,
6TH_INDIANA_WB,,6th & Indiana,North side of 6th east of Indiana Street,38.97326629,-95.24276307,FULL, ,,,,
6TH_HIGHPOINTE_EB,,6th & Iowa @ Highpoint,South side of 6th east of Highpoint entrance,38.9729905,-95.25893994,FULL, ,,,,
6TH_KASOLD_EB,189,6th & Kasold,South side of 6th Street west of Kasold,38.97143248,-95.28144014,FULL, ,,,,
6TH_KENT_EB,140,6th & Kentucky,South side of 6th before Kentucky,38.97305202,-95.23883722,FULL, ,,,,
6TH_DILLONS,183,6th & Lawrence,North side of 6th @ shelter in front of Dillon's,38.97167278,-95.27202145,FULL, ,,,,1
6TH_LYON_EB,283,6th & Lyon,South side of Lyon west of N 6th,38.98232298,-95.22637054,FULL, ,,,,
6TH_LYON_WB,203,6th & Lyon,North side of Lyon east of N 6th,38.98244448,-95.22585645,FULL, ,,,,
6TH_MAINE_SB,152,6th & Maine,West side of Maine before 6th approx. 50' south of driveway,38.97408893,-95.2476752,FULL, ,,,,
6TH_MAINE_WB,153,6th & Maine,North side of 6th east of Maine @ shelter,38.97326216,-95.24721474,FULL, ,,,,1
6TH_MISS_EB,194,6th & Mississippi,South side of 6th east of Mississippi before entrance to Rumsey's lot,38.97305607,-95.24362638,FULL, ,,,,
6TH_MONT_EB,193,6th & Monterey Way,South side of 6th west of Monterey Way @ bus shelter,38.97143273,-95.28860801,FULL, ,,,,1
6TH_MONT_WB,362,6th & Monterey Way,North side of 6th east of Monterey Way,38.97164927,-95.28776574,FULL, ,,,,
6TH_ROCK_EB,182,6th & Rockledge,South side of 6th west of Rockledge,38.9716146,-95.2652358,FULL,http://lawrenceks.org/lprd/parks/centennialpark,,,,
6TH_ROCK_WB,181,6th & Rockledge,North side of 6th east of Rockledge,38.97187162,-95.26480258,FULL,http://lawrenceks.org/lprd/parks/centennialpark,,,,
ROCKLEDGE_NB,,6th & Rockledge,East side of Rockledge south of 6th,38.970434,-95.26496798,FULL, ,,,,
ROCKLEDGE_SB,,6th & Rockledge,West side of Rockledge south of 6th,38.97042149,-95.26518792,FULL, ,,,,
6TH_SCHWARZ_EB,185,6th & Schwarz,South side of 6th west of Schwarz @ bus shelter,38.97145319,-95.27039366,FULL, ,,,,1
6TH_SCHWARZ_WB,,6th & Schwarz,North side of 6th east of Schwarz,38.97169189,-95.27014867,FULL, ,,,,
6TH_WESTGATE_EB,82,6th & Westgate Entrance,South side of 6th in front of Blockbuster west of entrance to Westgate,38.97141356,-95.30156508,FULL, ,,,,
6TH_WISC_EB,180,6th & Wisconsin,South side of 6th west of Wisconsin,38.97306552,-95.25479521,FULL, ,,,,
6TH_HYVEE,191,6th @ HyVee,North side of 6th by bus shelter in front of Hy Vee,38.97164209,-95.29110188,FULL, ,,,,1
7TH_LOCUST_NB,199,7th & Locust,East side of 7th before RR tracks but past RR sign,38.97821455,-95.22415028,FULL, ,,,,
7TH_LOCUST_SB,200,7th & Locust,West side of 7th before Locust,38.97814225,-95.22434316,FULL, ,,,,
7TH_LYON_EB,,7th & Lyon,South side of Lyon west of 7th,38.98233781,-95.2241537,FULL,http://lawrenceks.org/lprd/parks/lyonspark,,,,
7TH_LYON_NB,201,7th & Lyon,East side of 7th before Lyon,38.98213505,-95.22383084,FULL,http://lawrenceks.org/lprd/parks/lyonspark,,,,
7TH_MAINE_EB,,7th & Maine,South side of 7th west of Maine,38.97116804,-95.24768919,FULL, ,,,,
7TH_MAINE_WB,,7th & Maine,East side of Maine south of 7th,38.97129733,-95.24782866,FULL, ,,,,
7TH_MICH_EB,297,7th & Michigan,South side of 7th west of Michigan,38.97128481,-95.25169104,FULL, ,,,,
7TH_MICH_WB,302,7th & Michigan,North side of 7th west of Michigan,38.97138074,-95.25162131,FULL, ,,,,
7TH_NH_EB,,7th & New Hampshire,South side of 7th east of New Hampshire,38.971225,-95.234358,FULL,,,,,
7TH_NH_SB,142,7th & New Hampshire,West side of New Hampshire north of 7th,38.971334,-95.234771,FULL,,,,,
7TH_VERMONT,1,7th & Vermont,East side of Vermont at 7th.,38.970942,-95.237056,FULL,,,,,
8TH_VERMONT_SB,138,8th & Vermont,West side of Vermont @ DCSS,38.96975547,-95.23721365,FULL, ,,,,
9TH_ARK_EB,,9th & Arkansas,South side of 9th west of Arkansas,38.96742563,-95.25005043,FULL,,,,,
9TH_CONN_SB,,9th & Connecticut,West side of Connecticut north of 9th Street,38.967588,-95.232437,FULL,,,,,
9TH_EMERY_NB,355,9th & Emery,East side of Emery south of 9th,38.96730592,-95.25111169,FULL, ,,,,
9TH_EMERY_SB,,9th & Emery,West side of Emery south of 9th,38.96685964,-95.25128335,FULL, ,,,,
9TH_INDIANA_EB,,9th & Indiana,South side of 9th west of Indiana,38.9674006,-95.24274409,FULL,,,,,
9TH_INDIANA_WB,209,9th & Indiana,North side of 9th east of Indiana,38.96760915,-95.24266899,FULL,,,,,
9TH_IOWA_EB,327,9th & Iowa,North side of 9th west of Iowa,38.96795804,-95.26086375,FULL,http://lawrenceks.org/lprd/parks/centennialpark,,,,
9TH_IOWA_WB,312,9th & Iowa,South side of 9th west of entrance to Merc parking lot,38.96785585,-95.26136532,FULL,http://lawrenceks.org/lprd/parks/centennialpark,,,,
MERC,212,9th & Iowa @ The Merc,West side of Iowa @ bus shelter in front of The Merc,38.96729623,-95.26057178,FULL, ,,,,1
9TH_MAINE_EB,329,9th & Maine,South side of 9th at alley mid-block west of Maine,38.9674006,-95.24767935,FULL,,,,,
9TH_MAINE_NB,,9th & Maine,East side of Maine south of 9th,38.96776472,-95.24750143,FULL, ,,,,
9TH_MAINE_SB,,9th & Maine,West side of Maine north of 9th,38.96759371,-95.24761409,FULL, ,,,,
9TH_MAINE_WB,,9th & Maine,North side of 9th east of Maine,38.96758412,-95.24741113,FULL, ,,,,
9TH_MICH_WB,211,9th & Michigan,North side of 9th  east of Michigan,38.96759675,-95.25028908,FULL, ,,,,
9TH_NH_SB,,9th & New Hampshire,West side of New Hampshire north of 9th,38.967613,-95.234744,FULL,,,,,
9TH_OHIO_EB,331,9th & Ohio,South side of 9th west of Ohio,38.9674006,-95.2404052,FULL,,,,,
9TH_OHIO_WB,208,9th & Ohio,North side of 9th east of Ohio,38.96761275,-95.24043962,FULL, ,,,,
9TH_RI_WB,123,9th & Rhode Island,North side of 9th east of Rhode Island,38.96761286,-95.23329663,FULL, ,,,,
9TH_ROCKLEDGE_NB,354,9th & Rockledge,East side of Rockledge north of 9th,38.96812758,-95.26501626,FULL, ,,,,
9TH_ROCKLEDGE_SB,,9th & Rockledge,West side of Rockledge north of 9th,38.96805668,-95.26519328,FULL, ,,,,
9TH_UNIV_TER,214,9th & University Terrace,South side of 9th in the bus cutout @ University Terrace Apts,38.96742524,-95.25383203,FULL, ,,,,
IRVING_AFHG_EB,216,Allen Fieldhouse Garage,South side of Irving Hill Rd west of the Allen Fieldhouse Parking Garage,38.95587684,-95.25330037,FREE,http://www.ku.edu/,,,,1
ASRFC_NB,389,Ambler Student Recreation & Fitness Center,West side of parking lot 90 in front of ASRFC,38.95244776,-95.24882644,FREE,http://www.ku.edu/,,,,1
APPLE_LN_NB,292,Apple Lane,West side of Apple Lane halfway between Bob Billings Pkwy and 14th,38.95829212,-95.27687699,FULL, ,,,,
BAILEY_HALL_WB,373,Bailey Hall westbound,North side of Jayhawk Blvd in front of Bailey Hall,38.9575748,-95.24642194,FREE,http://www.ku.edu/,,,,1
BARK_JOHN_NB,,Barker & Johnson Ave,East side of Barker before Johnson Ave,38.95087557,-95.23271694,FULL, ,,,,
BECKER1_EB,375,Becker Drive Stop #1 (formerly Park & Ride),West side of Becker Drive @ NW corner of parking lot 302,38.94555571,-95.26312262,FREE,http://www.ku.edu/,,,,1
